ID,Title,Model,Tactics,Refer.
AML.CS0015,India’s Tek Fog Shrouds an Escalating Political War,Transformers (GPT-2),"Resource Development (Establish Accounts), Initial Access (Valid Accounts), ML Attack Staging (Create Proxy ML model: Use Pre-Trained Model), Exfiltration (Exfiltration via Cyber Means)",https://thewire.in/tekfog/en/2.html
AML.CS0016,"Meta says it's shut down a pro-Russian disinformation network, warns of a social media hacking operation",N/A,"Resource Development (Establish Accounts),Initial Access (Valid Accounts),  Exfiltration (Exfiltration via Cyber Means)",https://edition.cnn.com/2022/02/28/tech/meta-russia-ukraine-disinformation-network/index.html
AML.CS0017,"Libyan Fighters Attacked by a Potentially Unaided Drone, UN Says",CNN,"Reconnaissance (Identify Target), Impact (Human Destruction)",https://www.nytimes.com/2021/06/03/world/africa/libya-drone.html
AML.CS0018,YouTube algorithm accidentally blocks 'black v white' CHESS strategy,Youtube Video classifier,N/A,https://www.dailymail.co.uk/sciencetech/article-9279473/YouTube-algorithm-accidentally-blocked-chess-player-discussing-black-versus-white-strategy.html
AML.CS0019,Was a flying killer robot used in Libya? Quite possibly,CNN,"Reconnaissance (Identify Target), Impact (Human Destruction)",https://thebulletin.org/2021/05/was-a-flying-killer-robot-used-in-libya-quite-possibly/
AML.CS0020,Tesla told France there was no sign of technical fault in Paris crash,N/A,N/A,https://www.reuters.com/business/autos-transportation/french-transport-minister-says-not-worried-about-tesla-after-paris-car-accident-2021-12-15/
AML.CS0021,Rohingya refugees sue Facebook for $150 billion over Myanmar violence,N/A,N/A,https://www.reuters.com/world/asia-pacific/rohingya-refugees-sue-facebook-150-billion-over-myanmar-violence-2021-12-07/
AML.CS0022,CEO says controversial AI chatbot ‘Luda’ will socialize in time,Mesh autoencoders (NLP),N/A,http://www.koreaherald.com/view.php?ud=20210111001051
AML.CS0023,"Fraudsters Cloned Company Director’s Voice In $35 Million Bank Heist, Police Find",Deep Voice,Impact (Cost Harvesting),https://www.forbes.com/sites/thomasbrewster/2021/10/14/huge-bank-fraud-uses-deep-fake-voice-tech-to-steal-millions/?sh=419d63bc7559
AML.CS0024,When an Israeli Farmer Declared War on an Algorithm,N/A,N/A,https://www.haaretz.com/israel-news/tech-news/.premium-when-an-israeli-farmer-declared-war-on-an-algorithm-1.9440728
AML.CS0025,"Facebook’s race-blind practices around hate speech came at the expense of Black users, new documents show",N/A,N/A,https://www.washingtonpost.com/technology/2021/11/21/facebook-algorithm-biased-race/
AML.CS0026,The Christchurch shooter and YouTube’s radicalization trap,N/A,N/A,https://www.wired.com/story/christchurch-shooter-youtube-radicalization-extremism/
AML.CS0027,Tay (bot),,,https://en.wikipedia.org/wiki/Tay_(bot)
